Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.292: [GC (Allocation Failure) 0.292: [DefNew: 960K->63K(960K), 0.0024095 secs] 25543K->25239K(524224K), 0.0025125 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.296: [GC (Allocation Failure) 0.296: [DefNew: 959K->64K(960K), 0.0014376 secs] 26136K->25661K(524224K), 0.0015107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.299: [GC (Allocation Failure) 0.299: [DefNew: 960K->64K(960K), 0.0015320 secs] 26558K->26068K(524224K), 0.0016046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.302: [GC (Allocation Failure) 0.302: [DefNew: 960K->63K(960K), 0.0014854 secs] 26964K->26466K(524224K), 0.0015568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.305: [GC (Allocation Failure) 0.305: [DefNew: 959K->63K(960K), 0.0016496 secs] 27362K->26897K(524224K), 0.0017293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.308: [GC (Allocation Failure) 0.308: [DefNew: 959K->64K(960K), 0.0014195 secs] 27794K->27324K(524224K), 0.0014961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.311: [GC (Allocation Failure) 0.311: [DefNew: 960K->63K(960K), 0.0013776 secs] 28220K->27950K(524224K), 0.0014368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.317: [GC (Allocation Failure) 0.317: [DefNew: 959K->64K(960K), 0.0021363 secs] 29359K->28981K(524224K), 0.0022413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.320: [GC (Allocation Failure) 0.320: [DefNew: 960K->63K(960K), 0.0015616 secs] 29877K->29570K(524224K), 0.0016524 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.324: [GC (Allocation Failure) 0.324: [DefNew: 959K->63K(960K), 0.0014112 secs] 30467K->30066K(524224K), 0.0014897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.326: [GC (Allocation Failure) 0.326: [DefNew: 959K->64K(960K), 0.0021868 secs] 30962K->30612K(524224K), 0.0023108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.330: [GC (Allocation Failure) 0.330: [DefNew: 960K->64K(960K), 0.0011909 secs] 31508K->31033K(524224K), 0.0012549 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.332: [GC (Allocation Failure) 0.332: [DefNew: 960K->64K(960K), 0.0013622 secs] 31930K->31634K(524224K), 0.0014195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.335: [GC (Allocation Failure) 0.335: [DefNew: 960K->63K(960K), 0.0014376 secs] 32531K->32223K(524224K), 0.0014996 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.338: [GC (Allocation Failure) 0.338: [DefNew: 959K->63K(960K), 0.0015928 secs] 33120K->32770K(524224K), 0.0016895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.341: [GC (Allocation Failure) 0.341: [DefNew: 959K->63K(960K), 0.0018576 secs] 33669K->33362K(524224K), 0.0019536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) 0.345: [DefNew: 959K->64K(960K), 0.0014376 secs] 34259K->33854K(524224K), 0.0015059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.347: [GC (Allocation Failure) 0.347: [DefNew: 960K->63K(960K), 0.0013899 secs] 34750K->34420K(524224K), 0.0014487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.350: [GC (Allocation Failure) 0.350: [DefNew: 959K->63K(960K), 0.0014783 secs] 35316K->35007K(524224K), 0.0015418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.352: [GC (Allocation Failure) 0.352: [DefNew: 959K->63K(960K), 0.0013125 secs] 35903K->35432K(524224K), 0.0013682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.355: [GC (Allocation Failure) 0.355: [DefNew: 959K->63K(960K), 0.0014491 secs] 36328K->36048K(524224K), 0.0015174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.358: [GC (Allocation Failure) 0.358: [DefNew: 959K->63K(960K), 0.0015778 secs] 36945K->36491K(524224K), 0.0016812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.361: [GC (Allocation Failure) 0.361: [DefNew: 959K->64K(960K), 0.0013820 secs] 37388K->36989K(524224K), 0.0014542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.364: [GC (Allocation Failure) 0.364: [DefNew: 960K->63K(960K), 0.0014124 secs] 37885K->37437K(524224K), 0.0014775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.366: [GC (Allocation Failure) 0.366: [DefNew: 959K->63K(960K), 0.0013796 secs] 38335K->37844K(524224K), 0.0014404 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
